Zoo Code,CommonName,Phylum,Order,Family,Genus,Species
400,Achnanthidium sp.,Bacillariophyta,Cocconeidales,Achnanthidiaceae,Achnanthidium,
401,Actinastrum hantzschii,Chlorophyta,Chlorellales,Chlorellaceae,Actinastrum,hantzschii
402,Amphora sp.,Bacillariophyta,Thalassiophysales,Catenulaceae,Amphora,
403,Anabaena sp.,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,
404,Ankistrodesmus sp.,Chlorophyta,Sphaeropleales,Selenastraceae,Ankistrodesmus,
405,Aphanocapsa sp.,Cyanobacteria,Synechococcales,Merismopediaceae,Aphanocapsa,
406,Arthrospira sp.,Cyanobacteria,Oscillatoriales,Microcoleaceae,Arthrospira,
407,Asterionella formosa,Bacillariophyta,Tabellariales,Tabellariaceae,Asterionella,formosa
408,Aulacoseira sp.,Bacillariophyta,Aulacoseirales,Aulacoseiraceae,Aulacoseira,
409,Bacillaria paradoxa,Bacillariophyta,Bacillariales,Bacillariaceae,Bacillaria,paradoxa
410,Bacillaria sp.,Bacillariophyta,Bacillariales,Bacillariaceae,Bacillaria,
411,Biddulphia sp.,Bacillariophyta,Biddulphiales,Biddulphiaceae,Biddulphia,
412,Bitrichia chodatii,Ochrophyta,Hibberdiales,Stylococcaceae,Bitrichia,chodatii
413,Borzia sp.,Cyanobacteria,Oscillatoriales,Borziaceae,Borzia,
414,Brachysira sp.,Bacillariophyta,Naviculales,Brachysiraceae,Brachysira,
415,Calothrix sp.,Cyanobacteria,Nostocales,Rivulariaceae,Calothrix,
416,Carteria sp.,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Carteria,
417,Chaetoceros sp.,Bacillariophyta,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
418,Chlamydomonas grovei,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,grovei
419,Chlorella ellipsoidea,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,ellipsoidea
420,Chroococcus sp.,Cyanobacteria,Chroococcales,Chroococcaceae,Chroococcus,
421,Chroomonas sp.,Cryptophyta,Pyrenomonadales,Chroomonadaceae,Chroomonas,
422,Chrysochromulina sp.,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,
423,Chrysococcus sp.,Ochrophyta,Chromulinales,Dinobryaceae,Chrysococcus,
424,Cladophora glomerata,Chlorophyta,Cladophorales,Cladophoraceae,Cladophora,glomerata
425,Closterium sp.,Charophyta,Desmidiales,Closteriaceae,Closterium,
426,Cocconeis sp.,Bacillariophyta,Cocconeidales,Cocconeidaceae,Cocconeis,
427,Coelastrum sp.,Chlorophyta,Scenedesmaceae,Coelastroideae,Coelastrum,
428,Crucigenia sp.,Chlorophyta,Trebouxiophyceae ordo incertae sedi,Trebouxiophyceae incertae sedis,Crucigenia,
429,Crucigenia tetrapedia,Chlorophyta,Trebouxiophyceae ordo incertae sedi,Trebouxiophyceae incertae sedis,Crucigenia,tetrapedia
430,Crucigeniella rectangularis,Chlorophyta,Chlorellales,Oocystaceae,Crucigeniella,rectangularis
431,Crucigeniella sp.,Chlorophyta,Chlorellales,Oocystaceae,Crucigeniella,
432,Cryptomonas sp.,Cryptophyta,Cryptomonadales,Cryptomonadaceae,Cryptomonas,
433,Cyclotella atomus,Bacillariophyta,Stephanodiscales,Stephanodiscaceae,Cyclotella,atomus
434,Cyclotella meneghiniana,Bacillariophyta,Stephanodiscales,Stephanodiscaceae,Cyclotella,meneghiniana
435,Cyclotella sp.,Bacillariophyta,Stephanodiscales,Stephanodiscaceae,Cyclotella,
436,Cylindrotheca sp.,Bacillariophyta,Bacillariales,Bacillariaceae,Cylindrotheca,
437,Cymbella sp.,Bacillariophyta,Cymbellales,Cymbellaceae,Cymbella,
438,Desmodesmus sp.,Chlorophyta,Sphaeropleales,Scenedesmaceae,Desmodesmus,
439,Diatoma sp.,Bacillariophyta,Tabellariales,Tabellariaceae,Diatoma,
440,Dictyosphaerium pulchellum,Chlorophyta,Chlorellales,Chlorellaceae,Dictyosphaerium,pulchellum
441,Dictyosphaerium sp.,Chlorophyta,Chlorellales,Chlorellaceae,Dictyosphaerium,
442,Didymosphenia geminata,Bacillariophyta,Cymbellales,Cymbellaceae,Didymosphenia,geminata
443,Dinobryon sp.,Ochrophyta,Chromulinales,Dinobryaceae,Dinobryon,
444,Diploneis sp.,Bacillariophyta,Diploneidineae,Diploneidaceae,Diploneis,
445,Elakatothrix acuta,Charophyta,Klebsormidiales,Elakatotrichaceae,Elakatothrix,acuta
446,Encyonema sp.,Bacillariophyta,Cymbellales,Gomphonemataceae,Encyonema,
447,Encyonopsis sp.,Bacillariophyta,Cymbellales,Gomphonemataceae,Encyonopsis,
448,Entomoneis sp.,Bacillariophyta,Surirellales,Entomoneidaceae,Entomoneis,
449,Epipyxis sp.,Ochrophyta,Chromulinales,Dinobryaceae,Epipyxis,
450,Epithemia sp.,Bacillariophyta,Rhopalodiales,Rhopalodiaceae,Epithemia,
451,Euglena sp.,Euglenophyta,Euglenales,Euglenaceae,Euglena,
452,Eunotia sp.,Bacillariophyta,Eunotiales,Eunotiaceae,Eunotia,
453,Fragilaria crotonensis,Bacillariophyta,Fragilariales,Fragilariaceae,Fragilaria,crotonensis
454,Fragilaria sp.,Bacillariophyta,Fragilariales,Fragilariaceae,Fragilaria,
455,Frustulia sp.,Bacillariophyta,Naviculales,Amphipleuraceae,Frustulia,
456,Geitlerinema sp.,Cyanobacteria,Oscillatoriales,Coleofasciculaceae,Geitlerinema,
457,Geminella sp.,Chlorophyta,Chlorellales,Chlorellaceae,Geminella,
458,Gomphonema sp.,Bacillariophyta,Cymbellales,Gomphonemataceae,Gomphonema,
459,Gyrosigma sp.,Bacillariophyta,Naviculales,Naviculaceae,Gyrosigma,
460,Hemiselmis sp.,Cryptophyta,Pyrenomonadales,Chroomonadaceae,Hemiselmis,
461,Heterocapsa sp.,Miozoa,Peridiniales,Heterocapsaceae,Heterocapsa,
462,Hippodonta sp.,Bacillariophyta,Naviculales,Naviculaceae,Hippodonta,
463,Hymenomonas sp.,Haptophyta,Cocconeidales,Hymenomonadaceae,Hymenomonas,
464,Katablepharis sp.,Katablepharidophyta,Katablephariales,Katablepharidaceae,Katablepharis,
465,Katodinium sp.,Miozoa,Gymnodiniales,Tovelliaceae,Katodinium,
466,Kirchneriella sp.,Chlorophyta,Sphaeropleales,Selenastraceae,Kirchneriella,
467,Klebsormidium sp.,Charophyta,Klebsormidiales,Klebsormidiaceae,Klebsormidium,
468,Lagerheimia chodatii,Chlorophyta,Chlorellales,Oocystaceae,Lagerheimia,chodatii
469,Lagerheimia sp.,Chlorophyta,Chlorellales,Oocystaceae,Lagerheimia,
470,Lemnicola sp.,Bacillariophyta,Cocconeidales,Achnanthidiaceae,Lemnicola,
471,Lepidodinium sp.,Miozoa,Gymnodiniales,Geminigeraceae,Lepidodinium,
472,Lepocinclis ovum,Euglenophyta,Euglenales,Phacaceae,Lepocinclis,ovum
473,Lepocinclis sp.,Euglenophyta,Euglenales,Phacaceae,Lepocinclis,
474,Leptolyngbya sp.,Cyanobacteria,Synechococcales,Leptolyngbyaceae,Leptolyngbya,
475,Leucocryptos marina,Katablepharidophyta,Katablephariales,Katablepharidaceae,Leucocryptos,marina
476,Mallomonas akrokomos,Ochrophyta,Synurales,Mallomonadaceae,Mallomonas,akrokomos
477,Mallomonas sp.,Ochrophyta,Synurales,Mallomonadaceae,Mallomonas,
478,Melosira sp.,Bacillariophyta,Melosirales,Melosiraceae,Melosira,
479,Melosira varians,Bacillariophyta,Melosirales,Melosiraceae,Melosira,varians
480,Merismopedia sp.,Cyanobacteria,Synechococcales,Merismopediaceae,Merismopedia,
481,Mesoporos perforatus,Miozoa,Prorocentrales,Prorocentraceae,Mesoporos,perforatus
482,Microcystis sp.,Cyanobacteria,Chroococcales,Microcystaceae,Microcystis,
483,Monoraphidium arcuatum,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,arcuatum
484,Monoraphidium caribeum,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,caribeum
485,Monoraphidium circinale,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,circinale
486,Monoraphidium contortum,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,contortum
487,Monoraphidium griffithii,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,griffithii
488,Monoraphidium komarkovae,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,komarkovae
489,Monoraphidium minutum,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,minutum
490,Monoraphidium tortile,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,tortile
491,Mougeotia sp.,Charophyta,Zygnematales,Zygnemataceae,Mougeotia,
492,Navicula sp.,Bacillariophyta,Naviculales,Naviculaceae,Navicula,
493,Nephrochlamys sp.,Chlorophyta,Chlorellales,Oocystaceae,Nephrochlamys,
494,Nitzschia sp.,Bacillariophyta,Bacillariales,Bacillariaceae,Nitzschia,
495,Ochromonas sp.,Ochrophyta,Chromulinales,Chromulinaceae,Ochromonas,
496,Oedogonium sp.,Chlorophyta,Oedogoniales,Oedogoniaceae,Oedogonium,
497,Oocystis solitaria,Chlorophyta,Chlorellales,Oocystaceae,Oocystis,solitaria
498,Oscillatoria sp.,Cyanobacteria,Oscillatoriales,Oscillatoriaceae,Oscillatoria,
499,Pandorina sp.,Chlorophyta,Chlamydomonadales,Volvocaceae,Pandorina,
500,Pediastrum boryanum,Chlorophyta,Sphaeropleales,Hydrodictyaceae,Pediastrum,boryanum
501,Pediastrum sp.,Chlorophyta,Sphaeropleales,Hydrodictyaceae,Pediastrum,
502,Peridinium sp.,Miozoa,Peridiniales,Peridiniaceae,Peridinium,
503,Phacus sp.,Euglenophyta,Euglenales,Phacaceae,Phacus,
504,Phormidium granulatum,Cyanobacteria,Oscillatoriales,Oscillatoriaceae,Phormidium,granulatum
505,Phormidium sp.,Cyanobacteria,Oscillatoriales,Oscillatoriaceae,Phormidium,
506,Plagioselmis sp.,Cryptophyta,Pyrenomonadales,Geminigeraceae,Plagioselmis,
507,Planktolyngbya sp.,Cyanobacteria,Synechococcales,Leptolyngbyaceae,Planktolyngbya,
508,Planothidium sp.,Bacillariophyta,Cocconeidales,Achnanthidiaceae,Planothidium,
509,Pleurosigma sp.,Bacillariophyta,Naviculales,Pleurosigmataceae,Pleurosigma,
510,Pleurosira laevis,Bacillariophyta,Eupodiscales,Eupodiscaceae,Pleurosira,laevis
511,Protoceratium sp.,Miozoa,Gonyaulacales,Protoceratiaceae,Protoceratium,
512,Pseudanabaena mucicola,Cyanobacteria,Synechococcales,Pseudanabaenaceae,Pseudanabaena,mucicola
513,Pseudanabaena sp.,Cyanobacteria,Synechococcales,Pseudanabaenaceae,Pseudanabaena,
514,Pseudokephyrion sp.,Ochrophyta,Chromulinales,Dinobryaceae,Pseudokephyrion,
515,Pseudokephyrion spirale,Ochrophyta,Chromulinales,Dinobryaceae,Pseudokephyrion,spirale
516,Pseudostaurosira sp.,Bacillariophyta,Fragilariales,Fragilariaceae,Pseudostaurosira,
517,Pyramimonas sp.,Chlorophyta,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
518,Raphidocelis subcapitata,Chlorophyta,Sphaeropleales,Selenastraceae,Raphidocelis,subcapitata
519,Rhodomonas sp.,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,
520,Rhoicosphenia sp.,Bacillariophyta,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
521,Rhopalodia gibba,Bacillariophyta,Rhopalodiales,Rhopalodiaceae,Rhopalodia,gibba
522,Scenedesmus acuminatus,Chlorophyta,Sphaeropleales,Scenedesmaceae,Scenedesmus,acuminatus
523,Scenedesmus armatus,Chlorophyta,Sphaeropleales,Scenedesmaceae,Scenedesmus,armatus
524,Scenedesmus dimorphus,Chlorophyta,Sphaeropleales,Scenedesmaceae,Scenedesmus,dimorphus
525,Scenedesmus sp.,Chlorophyta,Sphaeropleales,Scenedesmaceae,Scenedesmus,
526,Schroederia sp.,Chlorophyta,Sphaeropleales,Schroederiaceae,Schroederia,
527,Sellaphora sp.,Bacillariophyta,Naviculales,Sellaphoraceae,Sellaphora,
528,Sphaerocystis planktonica,Chlorophyta,Chlamydomonadales,Sphaerocystidaceae,Sphaerocystis,planktonica
529,Spondylosium javanicum,Charophyta,Desmidiales,Desmidiaceae,Spondylosium,javanicum
530,Staurastrum sp.,Charophyta,Desmidiales,Desmidiaceae,Staurastrum,
531,Stenopterobia sp.,Bacillariophyta,Surirellales,Surirellaceae,Stenopterobia,
532,Stephanodiscus sp.,Bacillariophyta,Stephanodiscales,Stephanodiscaceae,Stephanodiscus,
533,Strombomonas sp.,Euglenophyta,Euglenales,Euglenaceae,Strombomonas,
534,Surirella sp.,Bacillariophyta,Surirellales,Surirellaceae,Surirella,
535,Synechococcus sp.,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,
536,Synedra sp.,Bacillariophyta,Licmophorales,Ulnariaceae,Synedra,
537,Synura sp.,Ochrophyta,Synurales,Synuraceae,Synura,
538,Tabellaria sp.,Bacillariophyta,Tabellariales,Tabellariaceae,Tabellaria,
539,Tabularia sp.,Bacillariophyta,Licmophorales,Ulnariaceae,Tabularia,
540,Teleaulax sp.,Cryptophyta,Pyrenomonadales,Geminigeraceae,Teleaulax,
541,Tetraëdron minimum,Chlorophyta,Sphaeropleales,Hydrodictyaceae,Tetraëdron,minimum
542,Tetraëdron regulare,Chlorophyta,Sphaeropleales,Hydrodictyaceae,Tetraëdron,regulare
543,Tetraspora sp.,Chlorophyta,Chlamydomonadales,Tetrasporaceae,Tetraspora,
544,Tetrastrum staurogeniaeforme,Chlorophyta,Sphaeropleales,Scenedesmaceae,Tetrastrum,staurogeniaeforme
545,Thalassiosira sp.,Bacillariophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
546,Trachelomonas sp.,Euglenophyta,Euglenales,Euglenaceae,Trachelomonas,
547,Trachelomonas volvocina,Euglenophyta,Euglenales,Euglenaceae,Trachelomonas,volvocina
548,Tryblionella sp.,Bacillariophyta,Bacillariales,Bacillariaceae,Tryblionella,
549,Tychonema sp.,Cyanobacteria,Oscillatoriales,Microcoleaceae,Tychonema,
550,Algae UNID,NA,NA,NA,NA,NA
557,Centrales UNID,Bacillariophyta,Centrales,NA,NA,NA
559,Chlorophyte UNID,Chlorophyta,NA,NA,NA,NA
564,Chrysophyte UNID,Chrysophyta,NA,NA,NA,NA
565,Cryptophyte UNID,Cryptophyta,NA,NA,NA,NA
566,Cyanophyte UNID,Cyanophyta,NA,NA,NA,NA
574,Dinoflagellate  UNID,Miozoa,NA,NA,NA,NA
575,Euglenophyta  UNID,Euglenophyta,NA,NA,NA,NA
576,Diatom UNID,Bacillariophyta,NA,NA,NA,NA
577,Pennales UNID,Bacillariophyta,Pennales,NA,NA,NA
578,Xanthophyte UNID,Xanthophyta,NA,NA,NA,NA
